,k1,L1,k2,L2,k3,L3,rho1,rho2,rho3
146,3,8,1,1,2,8,5.85e-06,-6.263e-05,0.00011428
147,1,8,1,1,3,8,-0.00754326,0.00676415,0.01081969
148,2,8,1,1,3,8,0.09923991,-0.00122335,-0.02677759
149,3,8,1,1,3,8,0.00237791,-0.01173192,0.01180045
150,1,8,1,1,4,8,0.0,-0.0,0.0
151,2,8,1,1,4,8,-0.0061948,-0.00303315,0.0053149
152,3,8,1,1,4,8,0.11526486,-0.02199091,-0.17443387
153,1,8,1,1,5,8,-0.0,0.0,-0.0
154,2,8,1,1,5,8,-0.0,-0.0,0.0
155,3,8,1,1,5,8,-0.00310322,-0.00581557,-0.00294668
156,1,8,1,1,1,9,0.11931749,-0.005464,0.06310261
157,2,8,1,1,1,9,0.004088,-0.01416606,0.00815655
158,3,8,1,1,1,9,3.82e-06,-4.126e-05,6.786e-05
159,1,8,1,1,2,9,0.01429604,-0.01051704,-0.0142414
160,2,8,1,1,2,9,0.09884161,-0.01665284,-0.02472442
161,3,8,1,1,2,9,0.00144746,-0.00628357,0.00525126
162,1,8,1,1,3,9,-0.0,0.0,-0.0
163,2,8,1,1,3,9,0.01712451,0.00617927,-0.01022903
164,3,8,1,1,3,9,0.06376421,-0.02396415,-0.09928003
165,1,8,1,1,4,9,0.0,-0.0,0.0
166,2,8,1,1,4,9,0.0,0.0,0.0
167,3,8,1,1,4,9,0.01678342,0.02390903,0.00996063
168,1,9,1,1,1,8,-0.206297,0.0054101,-0.15953557
169,2,9,1,1,1,8,0.00118394,-0.0151724,0.00490658
170,3,9,1,1,1,8,1.558e-05,-0.000152,0.00027371
171,4,9,1,1,1,8,1e-08,-2e-07,7.7e-07
172,1,9,1,1,2,8,0.00107889,-0.00848814,-0.00473385
173,2,9,1,1,2,8,-0.19528375,0.0122475,-0.10122984
174,3,9,1,1,2,8,0.00133349,-0.01331684,0.01359003
175,4,9,1,1,2,8,6.02e-06,-6.633e-05,0.00014986
176,1,9,1,1,3,8,-0.0,0.0,-0.0
