,k1,L1,k2,L2,k3,L3,rho1,rho2
183,4,9,1,1,4,8,-0.02988636,0.02286194
184,1,9,1,1,5,8,0.0,0.0
185,2,9,1,1,5,8,0.0,0.0
186,3,9,1,1,5,8,-0.0,0.0
187,4,9,1,1,5,8,-0.00467232,-0.0037036
188,1,9,1,1,1,9,0.03947183,-0.03973923
189,2,9,1,1,1,9,0.03482432,0.02571398
190,3,9,1,1,1,9,-0.01231199,0.0293846
191,4,9,1,1,1,9,-9.53e-06,9.577e-05
192,1,9,1,1,2,9,0.0,-0.0
193,2,9,1,1,2,9,0.03210041,-0.0130636
194,3,9,1,1,2,9,0.06292511,0.03831551
195,4,9,1,1,2,9,-0.00539468,0.01669939
196,1,9,1,1,3,9,0.0,-0.0
197,2,9,1,1,3,9,0.0,-0.0
198,3,9,1,1,3,9,0.03144642,0.00606455
199,4,9,1,1,3,9,0.07230023,0.03061364
200,1,9,1,1,4,9,-0.0,0.0
201,2,9,1,1,4,9,-0.0,0.0
202,3,9,1,1,4,9,-0.0,-0.0
203,4,9,1,1,4,9,0.02344432,0.01858355
204,1,9,1,1,1,10,0.17542747,-0.01393731
205,2,9,1,1,1,10,-0.01515402,0.02847995
206,3,9,1,1,1,10,-1.785e-05,0.00019355
207,4,9,1,1,1,10,-0.0,9e-08
208,1,9,1,1,2,10,-0.0292838,0.02948219
209,2,9,1,1,2,10,0.16756181,-0.01855176
210,3,9,1,1,2,10,-0.00516836,0.01393009
211,4,9,1,1,2,10,-3.92e-06,4.603e-05
212,1,9,1,1,3,10,-0.0,0.0
213,2,9,1,1,3,10,-0.02971621,0.01209333
214,3,9,1,1,3,10,0.1403752,-0.02516039
215,4,9,1,1,3,10,-0.0017409,0.00626852
216,1,9,1,1,4,10,-0.0,0.0
217,2,9,1,1,4,10,-0.0,0.0
218,3,9,1,1,4,10,-0.03812194,-0.00735195
219,4,9,1,1,4,10,0.09413546,-0.0276517
220,1,9,1,1,5,10,0.0,-0.0
221,2,9,1,1,5,10,0.0,0.0
222,3,9,1,1,5,10,-0.0,0.0
223,4,9,1,1,5,10,-0.04264295,-0.03380168
224,1,10,1,1,1,9,-0.04989209,0.00575024
225,2,10,1,1,1,9,-0.01484141,0.0329609
226,3,10,1,1,1,9,-1.548e-05,0.00014222
227,1,10,1,1,2,9,-0.01939401,0.0078926
228,2,10,1,1,2,9,-0.04141763,0.01623629
229,3,10,1,1,2,9,-0.00868826,0.02469972
230,1,10,1,1,3,9,-0.0,0.0
231,2,10,1,1,3,9,-0.01523423,-0.00293798
232,3,10,1,1,3,9,-0.02770044,0.02405742
233,1,10,1,1,4,9,0.0,0.0
234,2,10,1,1,4,9,-0.0,0.0
235,3,10,1,1,4,9,-0.00867319,-0.00687496
236,1,10,1,1,1,10,-0.03141798,0.05372903
237,2,10,1,1,1,10,-4.764e-05,0.00045153
238,3,10,1,1,1,10,-1e-08,2.7e-07
239,1,10,1,1,2,10,0.03247542,0.02796898
240,2,10,1,1,2,10,-0.01382489,0.03315897
241,3,10,1,1,2,10,-1.407e-05,0.00014168
242,1,10,1,1,3,10,0.03604287,-0.01466803
243,2,10,1,1,3,10,0.05672804,0.04501342
244,3,10,1,1,3,10,-0.0063569,0.01979428
245,1,10,1,1,4,10,0.0,-0.0
246,2,10,1,1,4,10,0.03707603,0.00715024
247,3,10,1,1,4,10,0.06510546,0.03961113
248,1,10,1,1,5,10,-0.0,-0.0
249,2,10,1,1,5,10,0.0,-0.0
250,3,10,1,1,5,10,0.03167068,0.02510432
251,1,10,1,1,1,11,0.17190029,-0.01834235
252,2,10,1,1,1,11,-0.00576414,0.01589185
253,3,10,1,1,1,11,-5.74e-06,6.896e-05
254,1,10,1,1,2,11,-0.03195358,0.01300385
255,2,10,1,1,2,11,0.14644533,-0.02598915
256,3,10,1,1,2,11,-0.002074,0.0076774
257,1,10,1,1,3,11,-0.0,0.0
258,2,10,1,1,3,11,-0.04141171,-0.00798639
259,3,10,1,1,3,11,0.10121928,-0.02922107
260,1,10,1,1,4,11,0.0,0.0
261,2,10,1,1,4,11,-0.0,0.0
262,3,10,1,1,4,11,-0.04829368,-0.03828083
263,1,11,1,1,1,10,-0.04529929,0.00144554
264,2,11,1,1,1,10,-0.02960392,0.04739947
265,3,11,1,1,1,10,-5.664e-05,0.0004925
266,4,11,1,1,1,10,-2e-08,3.8e-07
267,1,11,1,1,2,10,-0.03252012,0.03274044
268,2,11,1,1,2,10,-0.0413645,0.00390334
269,3,11,1,1,2,10,-0.01616484,0.03586651
270,4,11,1,1,2,10,-2.142e-05,0.00019565
271,1,11,1,1,3,10,-0.0,0.0
272,2,11,1,1,3,10,-0.02242349,0.00912548
273,3,11,1,1,3,10,-0.03549352,0.01572094
274,4,11,1,1,3,10,-0.00956717,0.02717272
275,1,11,1,1,4,10,0.0,-0.0
276,2,11,1,1,4,10,-0.0,0.0
277,3,11,1,1,4,10,-0.01893138,-0.00365098
278,4,11,1,1,4,10,-0.02444171,0.02468582
279,1,11,1,1,5,10,0.0,0.0
280,2,11,1,1,5,10,0.0,0.0
281,3,11,1,1,5,10,-0.0,0.0
282,4,11,1,1,5,10,-0.01283602,-0.0101747
283,1,11,1,1,1,11,0.04750833,-0.04783019
284,2,11,1,1,1,11,0.028317,0.03264897
285,3,11,1,1,1,11,-0.01528246,0.03688656
286,4,11,1,1,1,11,-1.97e-05,0.00019861
287,1,11,1,1,2,11,0.0,-0.0
288,2,11,1,1,2,11,0.03988287,-0.01623076
289,3,11,1,1,2,11,0.05162591,0.05142338
290,4,11,1,1,2,11,-0.00726902,0.02278228
291,1,11,1,1,3,11,-0.0,0.0
292,2,11,1,1,3,11,0.0,-0.0
293,3,11,1,1,3,11,0.04242239,0.00818131
294,4,11,1,1,3,11,0.05916537,0.04806119
295,1,11,1,1,4,11,-0.0,-0.0
296,2,11,1,1,4,11,-0.0,-0.0
297,3,11,1,1,4,11,0.0,-0.0
298,4,11,1,1,4,11,0.03926869,0.03112701
299,1,11,1,1,1,12,0.18401481,-0.01422739
300,2,11,1,1,1,12,-0.01746529,0.03407501
301,3,11,1,1,1,12,-3.136e-05,0.00035408
302,4,11,1,1,1,12,-1e-08,2.7e-07
303,1,11,1,1,2,12,-0.033948,0.03417798
304,2,11,1,1,2,12,0.17747109,-0.01988488
305,3,11,1,1,2,12,-0.00629733,0.01777121
306,4,11,1,1,2,12,-7.92e-06,9.759e-05
307,1,11,1,1,3,12,0.0,0.0
308,2,11,1,1,3,12,-0.03409266,0.01387437
309,3,11,1,1,3,12,0.15177991,-0.02670995
310,4,11,1,1,3,12,-0.00236917,0.00903872
311,1,11,1,1,4,12,-0.0,0.0
312,2,11,1,1,4,12,-0.0,0.0
313,3,11,1,1,4,12,-0.04442322,-0.00856717
314,4,11,1,1,4,12,0.10709018,-0.03044628
315,1,11,1,1,5,12,0.0,-0.0
316,2,11,1,1,5,12,0.0,0.0
317,3,11,1,1,5,12,-0.0,0.0
318,4,11,1,1,5,12,-0.05310355,-0.04209346
319,1,12,1,1,1,11,-0.03499541,0.00427583
320,2,12,1,1,1,11,-0.01745271,0.03874784
321,3,12,1,1,1,11,-2.857e-05,0.00025967
322,1,12,1,1,2,11,-0.02543073,0.01034931
323,2,12,1,1,2,11,-0.02924628,0.01509899
324,3,12,1,1,2,11,-0.01040264,0.02954287
325,1,12,1,1,3,11,-0.0,0.0
326,2,12,1,1,3,11,-0.02263733,-0.00436569
327,3,12,1,1,3,11,-0.02052673,0.02494936
328,1,12,1,1,4,11,0.0,-0.0
329,2,12,1,1,4,11,-0.0,-0.0
330,3,12,1,1,4,11,-0.01710611,-0.01355946
331,1,12,1,1,1,12,-0.03709051,0.06412785
332,2,12,1,1,1,12,-8.276e-05,0.00078624
333,3,12,1,1,1,12,-3e-08,7.4e-07
334,1,12,1,1,2,12,0.02782692,0.03391548
335,2,12,1,1,2,12,-0.01671045,0.0405637
336,3,12,1,1,2,12,-2.654e-05,0.000268
337,1,12,1,1,3,12,0.04359124,-0.01773992
338,2,12,1,1,3,12,0.04736355,0.05759657
339,3,12,1,1,3,12,-0.00813924,0.02569234
340,1,12,1,1,4,12,0.0,-0.0
