,k1,L1,k2,L2,k3,L3,rho1,rho2,rho3,rho4
182,3,9,1,1,4,8,0.01295853,0.00191707,0.00273785,0.00848589
183,4,9,1,1,4,8,0.01436055,-0.01501056,-0.01460345,0.01886841
184,1,9,1,1,5,8,0.0,0.0,0.0,-0.0
185,2,9,1,1,5,8,0.0,-0.0,-0.0,0.0
186,3,9,1,1,5,8,0.0,-5.64e-05,-6.207e-05,-1.635e-05
187,4,9,1,1,5,8,0.00551437,0.003279,-0.00221554,-0.00147534
188,1,9,1,1,1,9,-0.03585576,0.03474641,-0.01571239,0.02962851
189,2,9,1,1,1,9,-0.02455055,-0.01163455,-0.01227927,-0.04148738
190,3,9,1,1,1,9,0.00962675,-0.02604281,-0.00813364,0.00220145
191,4,9,1,1,1,9,-4.1e-07,-0.00022598,0.00028917,0.00020079
192,1,9,1,1,2,9,-0.0,0.00100397,-0.00048135,-0.00036526
193,2,9,1,1,2,9,-0.03125504,0.01135937,-0.01605146,-0.00670252
194,3,9,1,1,2,9,-0.04481992,-0.01374261,0.00848547,-0.02841911
195,4,9,1,1,2,9,0.00383355,-0.01495069,-0.0079407,0.02533692
196,1,9,1,1,3,9,0.0,0.0,0.0,-0.0
197,2,9,1,1,3,9,0.0,0.00059462,0.00018467,-0.00015897
198,3,9,1,1,3,9,-0.03267098,-0.00494272,-0.00752819,-0.02248724
199,4,9,1,1,3,9,-0.05221951,-0.00133409,0.06373991,0.02286175
200,1,9,1,1,4,9,-0.0,0.0,-0.0,-0.0
201,2,9,1,1,4,9,-0.0,0.0,0.0,-0.0
202,3,9,1,1,4,9,-0.0,0.00028298,0.00031144,8.203e-05
203,4,9,1,1,4,9,-0.02588762,-0.01535168,0.01083133,0.00720928
204,1,9,1,1,1,10,-0.1362587,0.00721991,-0.0780816,0.01081856
205,2,9,1,1,1,10,0.00938365,-0.0173694,-0.00223177,-0.01991533
206,3,9,1,1,1,10,-8.84e-06,-0.00042643,0.00042615,6.736e-05
207,4,9,1,1,1,10,-1e-08,-2.3e-07,2.12e-06,-2.6e-07
208,1,9,1,1,2,10,0.02098678,-0.01807658,0.01256291,-0.02245382
209,2,9,1,1,2,10,-0.13033004,0.01302432,-0.04933061,0.01389197
210,3,9,1,1,2,10,0.00266805,-0.00830779,-0.00537907,0.00134489
211,4,9,1,1,2,10,-2.56e-06,-9.427e-05,0.00012607,9.912e-05
212,1,9,1,1,3,10,0.0,-0.0009294,0.0004456,0.00033813
213,2,9,1,1,3,10,0.02343991,-0.00731185,0.01716389,0.00593212
214,3,9,1,1,3,10,-0.10992133,0.02564745,0.01927646,0.00548177
215,4,9,1,1,3,10,0.00068464,-0.00362309,-0.00388922,0.00968776
216,1,9,1,1,4,10,-0.0,0.0,-0.0,0.0
217,2,9,1,1,4,10,-0.0,-0.00072085,-0.00022387,0.00019271
218,3,9,1,1,4,10,0.03281976,0.00479793,0.01110302,0.02716554
219,4,9,1,1,4,10,-0.07454735,0.03330248,0.07988695,-0.02923326
220,1,9,1,1,5,10,0.0,-0.0,0.0,0.0
221,2,9,1,1,5,10,0.0,0.0,-0.0,-0.0
222,3,9,1,1,5,10,0.0,-0.00051471,-0.00056648,-0.00014921
223,4,9,1,1,5,10,0.03978751,0.02133629,-0.02081492,-0.01292158
224,1,10,1,1,1,9,0.01807771,-0.00060529,0.00707021,-0.00665182
225,2,10,1,1,1,9,0.0131038,-0.03381398,-0.00790496,0.00226673
226,3,10,1,1,1,9,3.64e-06,-0.00036128,0.00044785,0.00029347
227,1,10,1,1,2,9,0.02052105,-0.00770222,0.00958625,0.00415189
228,2,10,1,1,2,9,0.01518682,-0.00844875,-0.00352833,-0.00993384
229,3,10,1,1,2,9,0.0071946,-0.02595497,-0.01064394,0.03698487
230,1,10,1,1,3,9,-0.0,-0.00035925,-0.00011157,9.604e-05
231,2,10,1,1,3,9,0.01700967,0.0025338,0.00359929,0.01115316
232,3,10,1,1,3,9,0.01064647,-0.01450577,-0.01104186,0.01926884
233,1,10,1,1,4,9,0.0,-0.0,0.0,-0.0
234,2,10,1,1,4,9,0.0,-0.00013709,-0.00015088,-3.974e-05
235,3,10,1,1,4,9,0.01019075,0.00606623,-0.00409704,-0.00273152
236,1,10,1,1,1,10,0.02638939,-0.04674023,-0.00049878,-0.03807532
237,2,10,1,1,1,10,1.27e-06,-0.00111573,0.0010859,0.0001384
238,3,10,1,1,1,10,-2e-08,-8.4e-07,6.73e-06,-8.7e-07
239,1,10,1,1,2,10,-0.0225631,-0.01370302,-0.01016034,-0.0453111
240,2,10,1,1,2,10,0.01069298,-0.02912169,-0.00900739,0.00241704
241,3,10,1,1,2,10,-6.8e-07,-0.00033218,0.0004275,0.00029496
242,1,10,1,1,3,10,-0.03476462,0.01266533,-0.01779929,-0.00749426
243,2,10,1,1,3,10,-0.03940949,-0.01742317,0.00761345,-0.03215672
244,3,10,1,1,3,10,0.00446487,-0.01757404,-0.00917042,0.02989931
245,1,10,1,1,4,10,0.0,0.00087432,0.00027153,-0.00023374
246,2,10,1,1,4,10,-0.03818133,-0.00585038,-0.00876711,-0.02632186
247,3,10,1,1,4,10,-0.04584816,-0.00708619,0.0584952,0.03072043
248,1,10,1,1,5,10,-0.0,0.0,-0.0,0.0
249,2,10,1,1,5,10,-0.0,0.00050059,0.00055094,0.00014512
