,k1,L1,k2,L2,k3,L3,rho1
312,2,11,1,1,4,12,0.0
313,3,11,1,1,4,12,-0.0
314,4,11,1,1,4,12,-0.18613315
315,1,11,1,1,5,12,0.0
316,2,11,1,1,5,12,-0.0
317,3,11,1,1,5,12,-0.0
318,4,11,1,1,5,12,-0.0
319,1,12,1,1,1,11,0.38439088
320,2,12,1,1,1,11,0.00080138
321,3,12,1,1,1,11,-7.89e-06
322,1,12,1,1,2,11,-0.0
323,2,12,1,1,2,11,0.32960969
324,3,12,1,1,2,11,-5.169e-05
325,1,12,1,1,3,11,0.0
326,2,12,1,1,3,11,-0.0
327,3,12,1,1,3,11,0.23229245
328,1,12,1,1,4,11,-0.0
329,2,12,1,1,4,11,0.0
330,3,12,1,1,4,11,-0.0
331,1,12,1,1,1,12,-0.00460085
332,2,12,1,1,1,12,-3.582e-05
333,3,12,1,1,1,12,-3e-08
334,1,12,1,1,2,12,-0.07868379
335,2,12,1,1,2,12,-0.00331877
336,3,12,1,1,2,12,-1.345e-05
337,1,12,1,1,3,12,0.0
338,2,12,1,1,3,12,-0.14124737
339,3,12,1,1,3,12,-0.00235237
340,1,12,1,1,4,12,0.0
341,2,12,1,1,4,12,0.0
342,3,12,1,1,4,12,-0.16259028
343,1,12,1,1,5,12,-0.0
344,2,12,1,1,5,12,-0.0
345,3,12,1,1,5,12,0.0
346,1,12,1,1,1,13,-0.30484676
347,2,12,1,1,1,13,-0.00408104
348,3,12,1,1,1,13,-1.02e-05
349,1,12,1,1,2,13,-0.0
350,2,12,1,1,2,13,-0.26324078
351,3,12,1,1,2,13,-0.00215732
352,1,12,1,1,3,13,0.0
353,2,12,1,1,3,13,-0.0
354,3,12,1,1,3,13,-0.18839029
355,1,12,1,1,4,13,-0.0
356,2,12,1,1,4,13,0.0
357,3,12,1,1,4,13,-0.0
358,1,13,1,1,1,12,0.40239076
359,2,13,1,1,1,12,0.00364928
360,3,13,1,1,1,12,-2.026e-05
361,4,13,1,1,1,12,-3e-08
362,1,13,1,1,2,12,-0.0
363,2,13,1,1,2,12,0.38514569
364,3,13,1,1,2,12,0.00122594
365,4,13,1,1,2,12,-9.67e-06
366,1,13,1,1,3,12,0.0
367,2,13,1,1,3,12,-0.0
368,3,13,1,1,3,12,0.33268538
369,4,13,1,1,3,12,0.00018571
370,1,13,1,1,4,12,-0.0
371,2,13,1,1,4,12,-0.0
372,3,13,1,1,4,12,-0.0
373,4,13,1,1,4,12,0.2379857
374,1,13,1,1,5,12,-0.0
375,2,13,1,1,5,12,-0.0
376,3,13,1,1,5,12,0.0
377,4,13,1,1,5,12,-0.0
378,1,13,1,1,1,13,0.0
379,2,13,1,1,1,13,-0.07250945
380,3,13,1,1,1,13,-0.00360511
381,4,13,1,1,1,13,-1.758e-05
382,1,13,1,1,2,13,-0.0
383,2,13,1,1,2,13,0.0
384,3,13,1,1,2,13,-0.12996676
385,4,13,1,1,2,13,-0.00260405
386,1,13,1,1,3,13,0.0
387,2,13,1,1,3,13,-0.0
388,3,13,1,1,3,13,0.0
389,4,13,1,1,3,13,-0.14961078
390,1,13,1,1,4,13,0.0
391,2,13,1,1,4,13,0.0
392,3,13,1,1,4,13,-0.0
393,4,13,1,1,4,13,0.0
394,1,13,1,1,1,14,-0.31445893
395,2,13,1,1,1,14,-0.00916424
396,3,13,1,1,1,14,-4.233e-05
397,4,13,1,1,1,14,-4e-08
398,1,13,1,1,2,14,-0.0
399,2,13,1,1,2,14,-0.30117209
400,3,13,1,1,2,14,-0.0046766
401,4,13,1,1,2,14,-1.381e-05
402,1,13,1,1,3,14,0.0
403,2,13,1,1,3,14,-0.0
404,3,13,1,1,3,14,-0.26174701
405,4,13,1,1,3,14,-0.00253788
406,1,13,1,1,4,14,-0.0
407,2,13,1,1,4,14,0.0
408,3,13,1,1,4,14,-0.0
409,4,13,1,1,4,14,-0.18943268
410,1,13,1,1,5,14,-0.0
411,2,13,1,1,5,14,-0.0
412,3,13,1,1,5,14,0.0
413,4,13,1,1,5,14,-0.0
414,1,14,1,1,1,13,0.38589433
415,2,14,1,1,1,13,0.00169737
416,3,14,1,1,1,13,-1.154e-05
417,1,14,1,1,2,13,-0.0
418,2,14,1,1,2,13,0.33504123
419,3,14,1,1,2,13,0.00045822
420,1,14,1,1,3,13,0.0
421,2,14,1,1,3,13,-0.0
